frame,time
0,97.7194
1,97.9457
2,98.1848
3,98.162
4,98.4122
5,97.1726
6,97.0327
7,97.2857
8,98.0867
9,97.6888
10,97.3679
11,97.8917
12,97.971
13,97.1168
14,97.8354
15,97.1706
16,98.0484
17,98.5415
18,97.9594
19,99.977
20,97.8332
21,87.565
22,77.6339
23,72.775
24,68.2919
25,60.1114
26,53.3493
27,49.1317
28,43.2184
29,37.448
30,32.2032
31,28.1427
32,24.6196
33,20.0849
34,16.2305
35,13.4993
36,10.5793
37,8.81631
38,7.45301
39,5.82223
